model,display,ATE,SE,CI_lower,CI_upper,t_stat,p_value,coef_std,nuisance,elapsed_min
ols_baseline,OLS (naive),1.207919,,,,,,,,
plr_lasso,PLR Lasso,1.1984197348426164,0.15378485316278656,0.8970069612757742,1.4998325084094586,7.792833365546397,6.552300894667312e-15,0.01906251068932009,{},2.05
plr_random_forest,PLR Random Forest,1.1169681463725325,0.14864492095912013,0.8253536822250256,1.4083068396525857,7.514337786756385,5.719972256973394e-14,0.013607415174868753,{},0.86
plr_xgboost,PLR XGBoost,1.1293758711751791,0.15239728488739737,0.8313369710731295,1.4280690608961684,7.410734856658682,1.2560147637829314e-13,0.023394619038582386,{},0.45
irm_random_forest,IRM Random Forest,1.1053083080868231,0.2151410166215709,0.6834492751669711,1.526976952262435,5.1375991684144555,2.782706298228098e-07,0.062302890943169736,{},1.21
